자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-00080,2017-09-01 00:00:34,00210,IFC몰,5,2017-09-01 00:03:07,00213,KT앞,1,2,480.00,1993,F,내국인,ST-56,ST-59,LCD자전거
SPB-01550,2017-09-01 00:00:10,00247,당산역 10번출구 앞,4,2017-09-01 00:03:35,00244,영등포삼환아파트 앞,14,3,610.00,1997,F,내국인,ST-295,ST-293,LCD자전거
SPB-07723,2017-09-01 00:01:34,00403,부엉이공원 앞,1,2017-09-01 00:04:07,00400,상암한화오벨리스크 1차 앞,9,2,0.00,1980,M,내국인,ST-78,ST-110,LCD자전거
SPB-01889,2017-09-01 00:01:43,00584,광진광장 교통섬,13,2017-09-01 00:04:34,00516,광진메디칼 앞,2,2,330.00,1994,M,내국인,ST-445,ST-114,LCD자전거
SPB-08018,2017-09-01 00:01:14,01210,롯데월드타워(잠실역2번출구 쪽),24,2017-09-01 00:04:52,01232,잠실주공 521동 건너편,4,3,300.00,1994,M,내국인,ST-891,ST-550,LCD자전거
SPB-02743,2017-09-01 00:01:59,00378,청계7가 사거리,10,2017-09-01 00:06:30,00568,청계8가 사거리 B,1,4,820.00,1979,M,내국인,ST-193,ST-369,LCD자전거
SPB-09212,2017-09-01 00:01:20,00127,현대벤처빌 앞,1,2017-09-01 00:06:36,00126,서강대 후문 옆,17,5,1000.00,1993,M,내국인,ST-29,ST-28,LCD자전거
SPB-09900,2017-09-01 00:04:27,01326,상월곡역 1번출구,8,2017-09-01 00:06:40,01327,상월곡역 3번출구,3,2,210.00,1993,M,내국인,ST-572,ST-574,LCD자전거
SPB-11045,2017-09-01 00:00:02,00198,충정2교,13,2017-09-01 00:06:51,00142,아현역 4번출구 앞,8,6,540.00,1989,F,내국인,ST-354,ST-200,LCD자전거
SPB-03915,2017-09-01 00:03:27,00152,마포구민체육센터 앞,1,2017-09-01 00:07:05,00152,마포구민체육센터 앞,1,3,0.00,\N,\N,비회원,ST-209,ST-209,LCD자전거
SPB-03412,2017-09-01 00:03:43,01427,용마산역 1번출구,7,2017-09-01 00:07:12,01434,홈플러스 면목동점,11,3,970.00,1987,M,내국인,ST-852,ST-592,LCD자전거
SPB-07251,2017-09-01 00:02:05,00259,대방역6번출구,5,2017-09-01 00:07:13,00250,대림아파트 사거리,4,4,830.00,1992,M,내국인,ST-307,ST-298,LCD자전거
SPB-02566,2017-09-01 00:01:02,00361,동묘앞역 1번출구 뒤,4,2017-09-01 00:07:23,00344,성균관대 E하우스 앞,1,6,1070.00,1995,M,내국인,ST-175,ST-160,LCD자전거
SPB-08468,2017-09-01 00:02:34,00614,용두동 사거리,1,2017-09-01 00:07:32,00612,시립동부병원 앞 사거리,18,4,130.00,1990,M,내국인,ST-273,ST-271,LCD자전거
SPB-02555,2017-09-01 00:00:06,00501,광진문화예술회관 앞,4,2017-09-01 00:07:34,00514,성수사거리 버스정류장 앞,5,7,1160.00,1997,F,내국인,ST-98,ST-112,LCD자전거
SPB-00312,2017-09-01 00:00:51,00145,공덕역 5번출구,1,2017-09-01 00:07:41,00156,서울서부지방법원 앞,2,6,700.00,1992,F,내국인,ST-203,ST-213,LCD자전거
SPB-11846,2017-09-01 00:02:50,00344,성균관대 E하우스 앞,1,2017-09-01 00:07:50,00359,원남동사거리,1,4,450.00,1998,M,내국인,ST-160,ST-174,LCD자전거
SPB-03261,2017-09-01 00:01:32,00605,신설동역8번출구,7,2017-09-01 00:08:06,00614,용두동 사거리,1,6,770.00,1994,F,내국인,ST-265,ST-273,LCD자전거
SPB-00521,2017-09-01 00:00:51,02244,말죽거리공원 사거리,16,2017-09-01 00:08:10,02340,삼호물산버스정류장(23370) 옆,3,7,1470.00,1989,M,내국인,ST-769,ST-821,LCD자전거
SPB-12407,2017-09-01 00:04:01,00144,공덕역 8번출구,5,2017-09-01 00:08:37,00147,마포역 4번출구 뒤,7,4,190.00,1988,M,내국인,ST-202,ST-205,LCD자전거
SPB-12509,2017-09-01 00:05:30,00358,성균관대입구 사거리 A,8,2017-09-01 00:08:45,00356,KT혜화지사 앞,7,2,570.00,1994,M,내국인,ST-173,ST-172,LCD자전거
SPB-04456,2017-09-01 00:02:03,00542,강변역 4번출구 뒤,1,2017-09-01 00:09:06,00576,광나루역 3번 출구,9,6,1540.00,1995,M,내국인,ST-254,ST-387,LCD자전거
SPB-07186,2017-09-01 00:00:30,01637,KT 전화국 버스정류장 옆,12,2017-09-01 00:09:19,01620,중계구민체육센터,7,8,1380.00,1995,F,내국인,ST-611,ST-867,LCD자전거
SPB-12279,2017-09-01 00:03:28,01911,구로디지털단지역 앞,6,2017-09-01 00:09:37,02114,관악구 재활용센터,3,5,460.00,1990,F,내국인,ST-668,ST-716,LCD자전거
SPB-02658,2017-09-01 00:04:24,01908,해원리바파크 육교 밑,3,2017-09-01 00:10:23,01907,구일우성(아) 육교 밑,10,5,880.00,1990,M,내국인,ST-666,ST-665,LCD자전거
SPB-03035,2017-09-01 00:01:10,00114,홍대입구역 8번출구 앞,10,2017-09-01 00:10:27,00102,망원역 1번출구 앞,12,8,1720.00,1992,M,내국인,ST-20,ST-4,LCD자전거
SPB-06395,2017-09-01 00:06:25,00536,행당역 2번출구 앞,2,2017-09-01 00:10:35,00535,응봉삼거리,15,3,750.00,1980,M,내국인,ST-248,ST-247,LCD자전거
SPB-02315,2017-09-01 00:07:28,00127,현대벤처빌 앞,12,2017-09-01 00:10:37,00125,서강대 남문 옆,5,2,530.00,1997,M,내국인,ST-29,ST-27,LCD자전거
SPB-03058,2017-09-01 00:06:26,00150,서강대역 2번출구 앞,11,2017-09-01 00:10:57,00118,광흥창역 2번출구 앞,3,4,770.00,1987,M,내국인,ST-207,ST-19,LCD자전거
SPB-07524,2017-09-01 00:01:36,00260,여의도 마리나선착장 앞,14,2017-09-01 00:11:22,00267,삼성화재 사옥 옆,4,8,730.00,1981,M,내국인,ST-414,ST-421,LCD자전거
SPB-05982,2017-09-01 00:07:13,00230,영등포구청역 7번출구,4,2017-09-01 00:11:37,00232,양평우림 이비즈센타 앞,19,4,860.00,1988,M,내국인,ST-413,ST-281,LCD자전거
SPB-10966,2017-09-01 00:00:56,00180,충정로역 7번출구 아래,9,2017-09-01 00:11:46,00819,선린인터넷 고등학교,3,10,1690.00,1981,M,내국인,ST-233,ST-438,LCD자전거
SPB-04165,2017-09-01 00:04:03,01931,개봉역2번출구 A,6,2017-09-01 00:12:01,01933,개봉푸르지오아파트 상가,4,7,1660.00,1985,M,내국인,ST-920,ST-678,LCD자전거
SPB-11325,2017-09-01 00:06:35,02311,학동로 래미안 아파트 앞,1,2017-09-01 00:12:10,02356,강남구청,1,5,410.00,1979,M,내국인,ST-786,ST-954,LCD자전거
SPB-09921,2017-09-01 00:08:30,00156,서울서부지방법원 앞,7,2017-09-01 00:12:16,00157,애오개역 4번출구 앞,7,3,130.00,1988,F,내국인,ST-213,ST-214,LCD자전거
SPB-02824,2017-09-01 00:03:11,00113,홍대입구역 2번출구 앞,22,2017-09-01 00:12:24,00184,망원우체국사거리 인근,3,8,2000.00,1993,M,내국인,ST-18,ST-342,LCD자전거
SPB-06498,2017-09-01 00:02:50,00906,연신내역 5번출구,3,2017-09-01 00:12:35,00906,연신내역 5번출구,3,9,940.00,1994,F,내국인,ST-454,ST-454,LCD자전거
SPB-04424,2017-09-01 00:07:36,02324,천주교 대치 2동 교회 옆,2,2017-09-01 00:12:39,02325,대치삼성아파트 앞 교차로,5,4,700.00,1993,M,내국인,ST-807,ST-808,LCD자전거
SPB-06715,2017-09-01 00:09:16,99998,상암센터,8,2017-09-01 00:12:42,00138,신촌동 제1공영주차장 앞,2,3,420.00,1990,M,내국인,ST-34,ST-40,LCD자전거
SPB-12168,2017-09-01 00:07:36,02324,천주교 대치 2동 교회 옆,4,2017-09-01 00:12:46,02325,대치삼성아파트 앞 교차로,7,4,320.00,1993,M,내국인,ST-807,ST-808,LCD자전거
SPB-03645,2017-09-01 00:11:22,00262,영문초등학교 사거리,9,2017-09-01 00:12:54,00263,근로자회관 사거리,4,1,310.00,1981,M,내국인,ST-416,ST-417,LCD자전거
SPB-05608,2017-09-01 00:05:15,00266,영등포청과시장 사거리,8,2017-09-01 00:13:06,00244,영등포삼환아파트 앞,1,7,1410.00,1990,M,내국인,ST-420,ST-293,LCD자전거
SPB-06874,2017-09-01 00:03:54,01405,망우역 1번출구,6,2017-09-01 00:13:08,01412,면목초등학교,1,8,1510.00,1999,M,내국인,ST-568,ST-575,LCD자전거
SPB-07628,2017-09-01 00:03:07,00113,홍대입구역 2번출구 앞,17,2017-09-01 00:13:11,00192,연서어린이공원,8,9,800.00,1995,M,내국인,ST-18,ST-348,LCD자전거
SPB-05458,2017-09-01 00:06:59,00247,당산역 10번출구 앞,3,2017-09-01 00:13:14,00244,영등포삼환아파트 앞,20,5,610.00,1995,F,내국인,ST-295,ST-293,LCD자전거
SPB-04755,2017-09-01 00:01:49,00372,약수역 3번출구 뒤,7,2017-09-01 00:13:27,00569,응봉현대아파트 정류소,1,11,2200.00,1986,M,내국인,ST-187,ST-370,LCD자전거
SPB-03012,2017-09-01 00:01:30,00502,자양(뚝섬한강공원)역 1번출구 앞,12,2017-09-01 00:13:44,00515,광양중학교 앞,10,11,2520.00,1974,M,내국인,ST-99,ST-113,LCD자전거
SPB-03171,2017-09-01 00:11:08,01102,방화사거리 마을버스 버스정류장,4,2017-09-01 00:13:51,01103,방화역 4번출구앞,1,2,480.00,1977,M,내국인,ST-508,ST-831,LCD자전거
SPB-07826,2017-09-01 00:09:26,02054,삼익아파트,6,2017-09-01 00:14:05,02013,장승배기역 5번출구,25,4,560.00,1986,M,내국인,ST-700,ST-687,LCD자전거
SPB-02096,2017-09-01 00:06:00,00550,서울시설공단 앞,2,2017-09-01 00:14:07,00642,신답역 사거리,2,7,1440.00,1965,M,내국인,ST-251,ST-409,LCD자전거
SPB-01616,2017-09-01 00:09:22,00157,애오개역 4번출구 앞,6,2017-09-01 00:14:09,00143,공덕역 2번출구,9,4,1280.00,1987,M,내국인,ST-214,ST-201,LCD자전거
SPB-07620,2017-09-01 00:10:27,02259,잠원역 3번-4번 출구사이,10,2017-09-01 00:14:26,02217,아크로리버뷰 부지 앞,13,3,110.00,1975,M,내국인,ST-780,ST-749,LCD자전거
SPB-11317,2017-09-01 00:06:19,00194,증산교 앞,10,2017-09-01 00:14:50,00165,중앙근린공원,7,8,390.00,1982,M,내국인,ST-350,ST-222,LCD자전거
SPB-07486,2017-09-01 00:06:12,01318,길음역 3번출구 뒤,5,2017-09-01 00:15:21,01319,종암박스파크,8,8,480.00,1987,M,내국인,ST-563,ST-564,LCD자전거
SPB-09031,2017-09-01 00:02:55,01610,화랑대역 2번출구 앞,5,2017-09-01 00:15:28,01601,석계역 문화광장 내 자전거 보관소,16,11,880.00,1993,M,내국인,ST-603,ST-600,LCD자전거
SPB-11786,2017-09-01 00:08:33,00169,북가좌 삼거리,1,2017-09-01 00:15:30,00166,가재울 초등학교,7,6,790.00,1975,M,내국인,ST-226,ST-223,LCD자전거
SPB-02564,2017-09-01 00:12:13,00115,마스타 빌딩 앞,7,2017-09-01 00:15:46,00114,홍대입구역 8번출구 앞,13,3,370.00,1978,M,내국인,ST-12,ST-20,LCD자전거
SPB-04822,2017-09-01 00:06:32,00224,롯데캐슬 앞,1,2017-09-01 00:16:12,00259,대방역6번출구,5,9,1130.00,1991,M,내국인,ST-70,ST-307,LCD자전거
