month_no,month,hour,rental_count
1,2025-01,0,35734
1,2025-01,1,26485
1,2025-01,2,18660
1,2025-01,3,13849
1,2025-01,4,11807
1,2025-01,5,21005
1,2025-01,6,39974
1,2025-01,7,84935
1,2025-01,8,146675
1,2025-01,9,82361
1,2025-01,10,63092
1,2025-01,11,72867
1,2025-01,12,81872
1,2025-01,13,84007
1,2025-01,14,86014
1,2025-01,15,92087
1,2025-01,16,102928
1,2025-01,17,135224
1,2025-01,18,156568
1,2025-01,19,98102
1,2025-01,20,78130
1,2025-01,21,71142
1,2025-01,22,60365
1,2025-01,23,40305
2,2025-02,0,29454
2,2025-02,1,22950
2,2025-02,2,15863
2,2025-02,3,11977
2,2025-02,4,10817
2,2025-02,5,20002
2,2025-02,6,38819
2,2025-02,7,85306
2,2025-02,8,144795
2,2025-02,9,80065
2,2025-02,10,60164
2,2025-02,11,67998
2,2025-02,12,76399
2,2025-02,13,78769
2,2025-02,14,81416
2,2025-02,15,85859
2,2025-02,16,97968
2,2025-02,17,133611
2,2025-02,18,159473
2,2025-02,19,95643
2,2025-02,20,74319
2,2025-02,21,66319
2,2025-02,22,55310
2,2025-02,23,36178
3,2025-03,0,50308
3,2025-03,1,37321
3,2025-03,2,25069
3,2025-03,3,18266
3,2025-03,4,15289
3,2025-03,5,28659
3,2025-03,6,59839
3,2025-03,7,151311
3,2025-03,8,222971
3,2025-03,9,126702
3,2025-03,10,103004
3,2025-03,11,120466
3,2025-03,12,133918
3,2025-03,13,140813
3,2025-03,14,146651
3,2025-03,15,162815
3,2025-03,16,195424
3,2025-03,17,246248
3,2025-03,18,285350
3,2025-03,19,176434
3,2025-03,20,139302
3,2025-03,21,122871
3,2025-03,22,103453
3,2025-03,23,64378
4,2025-04,0,63453
4,2025-04,1,44356
4,2025-04,2,29457
4,2025-04,3,21134
4,2025-04,4,18268
4,2025-04,5,36277
4,2025-04,6,82159
4,2025-04,7,211011
4,2025-04,8,299538
4,2025-04,9,163119
4,2025-04,10,127722
4,2025-04,11,149461
4,2025-04,12,164167
4,2025-04,13,161283
4,2025-04,14,162320
4,2025-04,15,185195
4,2025-04,16,228269
4,2025-04,17,305350
4,2025-04,18,368252
4,2025-04,19,229250
4,2025-04,20,185788
4,2025-04,21,168751
4,2025-04,22,139938
4,2025-04,23,86231
5,2025-05,0,72176
5,2025-05,1,50064
5,2025-05,2,32109
5,2025-05,3,22979
5,2025-05,4,20310
5,2025-05,5,39272
5,2025-05,6,86261
5,2025-05,7,200329
5,2025-05,8,275560
5,2025-05,9,159078
5,2025-05,10,129206
5,2025-05,11,152801
5,2025-05,12,169631
5,2025-05,13,176771
5,2025-05,14,186000
5,2025-05,15,212149
5,2025-05,16,251788
5,2025-05,17,325407
5,2025-05,18,384921
5,2025-05,19,262929
5,2025-05,20,210027
5,2025-05,21,188049
5,2025-05,22,153969
5,2025-05,23,97593
6,2025-06,0,84602
6,2025-06,1,57802
6,2025-06,2,37984
6,2025-06,3,26769
6,2025-06,4,23953
6,2025-06,5,45127
6,2025-06,6,93511
6,2025-06,7,209454
6,2025-06,8,283110
6,2025-06,9,170398
6,2025-06,10,138899
6,2025-06,11,155364
6,2025-06,12,170231
6,2025-06,13,164658
6,2025-06,14,169555
6,2025-06,15,195273
6,2025-06,16,243084
6,2025-06,17,320261
6,2025-06,18,390057
6,2025-06,19,289090
6,2025-06,20,247440
6,2025-06,21,218263
6,2025-06,22,176911
6,2025-06,23,112513
7,2025-07,0,78571
7,2025-07,1,53738
7,2025-07,2,36004
7,2025-07,3,26419
7,2025-07,4,23453
7,2025-07,5,48937
7,2025-07,6,101572
7,2025-07,7,212202
7,2025-07,8,291546
7,2025-07,9,159447
7,2025-07,10,114917
7,2025-07,11,127063
7,2025-07,12,131025
7,2025-07,13,122204
7,2025-07,14,123088
7,2025-07,15,136424
7,2025-07,16,171938
7,2025-07,17,263627
7,2025-07,18,345409
7,2025-07,19,252940
7,2025-07,20,225418
7,2025-07,21,210471
7,2025-07,22,171400
7,2025-07,23,108384
8,2025-08,0,81504
8,2025-08,1,56281
8,2025-08,2,36419
8,2025-08,3,26654
8,2025-08,4,22188
8,2025-08,5,41522
8,2025-08,6,87283
8,2025-08,7,180015
8,2025-08,8,241690
8,2025-08,9,145926
8,2025-08,10,114807
8,2025-08,11,124009
8,2025-08,12,133711
8,2025-08,13,130979
8,2025-08,14,131570
8,2025-08,15,150482
8,2025-08,16,188956
8,2025-08,17,280186
8,2025-08,18,363849
8,2025-08,19,271696
8,2025-08,20,239992
8,2025-08,21,220577
8,2025-08,22,178821
8,2025-08,23,110145
9,2025-09,0,75326
9,2025-09,1,50957
9,2025-09,2,33297
9,2025-09,3,25068
9,2025-09,4,22290
9,2025-09,5,44444
9,2025-09,6,101277
9,2025-09,7,240820
9,2025-09,8,312893
9,2025-09,9,168115
9,2025-09,10,129065
9,2025-09,11,146356
9,2025-09,12,156358
9,2025-09,13,155180
9,2025-09,14,156964
9,2025-09,15,184523
9,2025-09,16,235501
9,2025-09,17,327410
9,2025-09,18,396137
9,2025-09,19,276023
9,2025-09,20,240646
9,2025-09,21,224675
9,2025-09,22,180355
9,2025-09,23,108616
10,2025-10,0,62710
10,2025-10,1,43410
10,2025-10,2,28629
10,2025-10,3,21195
10,2025-10,4,17681
10,2025-10,5,32806
10,2025-10,6,70758
10,2025-10,7,176621
10,2025-10,8,260057
10,2025-10,9,151688
10,2025-10,10,123447
10,2025-10,11,145112
10,2025-10,12,158336
10,2025-10,13,166195
10,2025-10,14,173256
10,2025-10,15,197182
10,2025-10,16,235792
10,2025-10,17,291540
10,2025-10,18,306377
