month_no,month,row_count,avg_use_min,min_use_min,max_use_min,avg_distance_m,min_distance_m,max_distance_m
1,2025-01,1704188,17.997406389435906,0.0,1026.0,1868.529283705772,0.0,142770.18
2,2025-02,1629474,18.4466766576208,0.0,1097.0,1916.5720678758933,0.0,88617.35
3,2025-03,2876862,20.632437357092556,0.0,1400.0,2283.181510534807,0.0,101430.0
4,2025-04,3630749,21.800499015492395,0.0,1494.0,2489.611701830742,0.0,162307.1
5,2025-05,3859379,22.677633111440983,0.0,1374.0,2584.9732607760134,0.0,354851.61
6,2025-06,4024309,21.8241278192107,0.0,1517.0,2493.332613479816,0.0,103210.0
7,2025-07,3536197,19.79466613426797,0.0,7615.0,2210.5057977200454,0.0,116120.0
8,2025-08,3559262,20.79945140312795,0.0,1449.0,2316.9443539251006,0.0,136970.0
9,2025-09,3992296,21.495732781336855,0.0,2020.0,2414.569408761378,0.0,108599.27
10,2025-10,3407800,21.512797699395502,0.0,7715.0,2382.5651008510895,0.0,130762.21
11,2025-11,3186968,19.520424742262865,0.0,1520.0,2103.729540513171,0.0,105171.58
12,2025-12,1965170,17.79140227054148,0.0,1439.0,1848.4904201468823,0.0,81815.96
